,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_logreg__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,frac_errors
268,0.007614994049072265,0.00047334927470856777,0.002998542785644531,1.8675952937666073e-06,17,2.9,"{'KNN__n_neighbors': np.int64(17), 'logreg__C': np.float64(2.9000000000000004)}",0.8268156424581006,0.8370786516853933,0.8314606741573034,0.8258426966292135,0.8707865168539326,0.8383968363567889,0.016677348926079513,31,0.16160316364321115
269,0.00899972915649414,0.0012647066343288394,0.003199863433837891,0.0004004009709515288,17,3.0,"{'KNN__n_neighbors': np.int64(17), 'logreg__C': np.float64(3.0000000000000004)}",0.8268156424581006,0.8370786516853933,0.8314606741573034,0.8258426966292135,0.8707865168539326,0.8383968363567889,0.016677348926079513,31,0.16160316364321115
270,0.008080387115478515,0.000573501242306022,0.004070854187011719,0.00013711490417133487,19,0.1,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.1)}",0.8491620111731844,0.8370786516853933,0.8370786516853933,0.8314606741573034,0.8314606741573034,0.8372481325717155,0.006465095523954665,269,0.1627518674282845
271,0.009613418579101562,0.00047204177952586733,0.004103374481201172,0.0004938135463871266,19,0.2,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.2)}",0.8547486033519553,0.8426966292134831,0.8258426966292135,0.8314606741573034,0.8370786516853933,0.8383654510074698,0.0099329548318604,108,0.16163454899253016
272,0.007999801635742187,0.0008943091211742702,0.0036001682281494142,0.0008012296826698853,19,0.3,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.30000000000000004)}",0.8491620111731844,0.8426966292134831,0.8258426966292135,0.8314606741573034,0.8426966292134831,0.8383717280773336,0.008468518693101928,85,0.16162827192266638
273,0.006999683380126953,0.0010951917580604236,0.0034006118774414064,0.0004905245516590019,19,0.4,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.4)}",0.8435754189944135,0.8426966292134831,0.8258426966292135,0.8258426966292135,0.8426966292134831,0.8361308141359614,0.008406339517628534,377,0.16386918586403865
274,0.008894062042236328,0.0007587276461203824,0.0040056705474853516,4.916281287682344e-06,19,0.5,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.5)}",0.8379888268156425,0.8426966292134831,0.8258426966292135,0.8258426966292135,0.8539325842696629,0.8372606867114432,0.010665578485242987,212,0.16273931328855684
275,0.009231853485107421,0.0007263130218596242,0.0040190696716308595,3.614205477004374e-05,19,0.6,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.6)}",0.8379888268156425,0.8426966292134831,0.8258426966292135,0.8202247191011236,0.8539325842696629,0.8361370912058252,0.012019269384826411,354,0.16386290879417476
276,0.009201431274414062,0.0007502083813840274,0.003832578659057617,0.0008014484138290726,19,0.7,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.7000000000000001)}",0.8379888268156425,0.8370786516853933,0.8258426966292135,0.8202247191011236,0.8539325842696629,0.8350134957002071,0.011609141619316029,420,0.1649865042997929
277,0.009104156494140625,0.0009100251287111613,0.0036133289337158202,0.0005015306631916564,19,0.8,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.8)}",0.8435754189944135,0.8314606741573034,0.8258426966292135,0.8314606741573034,0.8651685393258427,0.8395016006528152,0.014080244271060832,23,0.1604983993471848
278,0.008799934387207031,0.000399780330312157,0.003399944305419922,0.0004898040697486511,19,0.9,"{'KNN__n_neighbors': np.int64(19), 'logreg__C': np.float64(0.9)}",0.8435754189944135,0.8370786516853933,0.8258426966292135,0.8258426966292135,0.8651685393258427,0.8395016006528152,0.014521637212628287,23,0.1604983993471848
