,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__n_neighbors,param_random_forest__max_depth,param_random_forest__max_features,param_random_forest__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
359,0.13188376426696777,0.002521488226347026,0.008030986785888672,6.265694692018165e-05,10,20,,19,"{'KNN__n_neighbors': 10, 'random_forest__max_depth': 20, 'random_forest__max_features': None, 'random_forest__min_samples_leaf': 19}",0.8156424581005587,0.8202247191011236,0.8595505617977528,0.8426966292134831,0.848314606741573,0.8372857949908983,0.016769889676709934,367
360,0.0959784984588623,0.006437937302463527,0.007601022720336914,0.0008007384293689554,15,4,sqrt,1,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1}",0.7988826815642458,0.8426966292134831,0.8426966292134831,0.8089887640449438,0.8595505617977528,0.8305630531667818,0.02282024928864806,638
361,0.09975214004516601,0.004701030610812022,0.006598520278930664,0.0010192449346471558,15,4,sqrt,3,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 3}",0.8379888268156425,0.8426966292134831,0.8426966292134831,0.8089887640449438,0.8539325842696629,0.8372606867114432,0.015079011302035724,384
362,0.10368413925170898,0.00466007062737539,0.00755605697631836,0.0006009213338016905,15,4,sqrt,5,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 5}",0.8379888268156425,0.8426966292134831,0.8426966292134831,0.8089887640449438,0.8595505617977528,0.8383842822170611,0.01642837142327197,343
363,0.09670915603637695,0.008669725998215945,0.007099676132202149,0.00048421538311291197,15,4,sqrt,7,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 7}",0.8268156424581006,0.8426966292134831,0.8426966292134831,0.8033707865168539,0.8539325842696629,0.8339024543343168,0.017540164030717308,508
364,0.10363316535949707,0.0021731566517745773,0.006998252868652344,0.001095412623337643,15,4,sqrt,9,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 9}",0.8324022346368715,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8595505617977528,0.835019772770071,0.01829449400391511,464
365,0.09973077774047852,0.006542565775163063,0.007004928588867187,0.0006322224795035107,15,4,sqrt,11,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 11}",0.8491620111731844,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.848314606741573,0.8361245370660976,0.01694393363259231,444
366,0.09288830757141113,0.0064276553613006925,0.007065916061401367,0.000827174801874105,15,4,sqrt,13,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 13}",0.8435754189944135,0.8426966292134831,0.8314606741573034,0.8033707865168539,0.8426966292134831,0.8327600276191074,0.015361384085275863,570
367,0.08776049613952637,0.00767259013503962,0.007401323318481446,0.0007989009581503157,15,4,sqrt,15,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 15}",0.8435754189944135,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8426966292134831,0.8338836231247253,0.015430557120096538,538
368,0.09628958702087402,0.0034845611249321924,0.007002925872802735,0.0010962493277568658,15,4,sqrt,17,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 17}",0.8324022346368715,0.8426966292134831,0.8370786516853933,0.8033707865168539,0.8426966292134831,0.8316489862532169,0.014654733434065108,620
369,0.09939098358154297,0.008133448089212288,0.007220125198364258,0.000743598639307582,15,4,sqrt,19,"{'KNN__n_neighbors': 15, 'random_forest__max_depth': 4, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 19}",0.8324022346368715,0.8370786516853933,0.8370786516853933,0.8033707865168539,0.8314606741573034,0.8282781997363632,0.012668156532047677,684
